男子魔族Ａ	おい、聞いたか？
男子魔族Ｂ	ああ。あの人族が、銀月とできてるって話だろ。神族連中、全員お通夜状態だぜ
男子魔族Ａ	グランルナだの、女神だの言われてはいたが、所詮は女だったってことだな
男子魔族Ｂ	人族如きに股を開くくらいだからな、どれだけ男好きなんだか
主人公	当然ながら、騒ぎは昼休みだけでは終わらなかった。
女子神族Ａ	あのノート様が、よりにもよって人族なんかに……神族、終わっちゃったかも……
女子神族Ｂ	間違いなく無理やりよ。ノート様の優しさに付け込んで強引に……
主人公	白鷺姫がノート＝ルゥムと関係をもった。この話は瞬く間に学園中へと広がり、今はもう、学園のどこででもこの状態。
主人公	正直、視線が痛い。
主人公	というか、神族なんかは本気で殺意撒き散らしてるし、これ、学園内だからまだ制御されてるけど、一歩でも外に出たら俺の命は終わるんじゃないだろうか。
紅	ちょっとまずい感じの方向だな、これは
姫	まあ、さすがに冗談とかですむ話じゃないからな、これは……
主人公	それなりの覚悟の上での行為だったけど、やっぱりきついな。本当に視線が痛い。
姫	でも、俺なんかよりノートのがもっと辛いだろうしな……
紅	そうだな。なんといっても神族の第一王女だ……
主人公	神族の王女が、大した力もない人族の男に純潔を捧げた。それがどれほど重くて大変なことか。一体、どんな視線に晒されてるんだろう……。
姫	せめてもの救いは、神族はノートに同情的ってところだな。俺のせいってことになってる。まあ、事実そうなんだけども
紅	そうだな。竜族はウルルが言えば収まるだろうし……問題なのは魔族か。元々敵対してた種族なだけに、反応も蔑むものばかりだ
紅	場合によっては、力尽くで口を封じるくらいしないとダメかもしれないな。ノートのためにも
姫	確かにヴェルなら可能だろうな。魔族の王女だし……
姫	でもまあ……
主人公	そこまで言って、俺は紅と顔を見合わせると、深い溜息をついた。
紅	まあ、そのヴェルがこの調子じゃなあ……
ヴェル	ふえ～ん、ごめんなさいぃ……
姫	いやまあ、誰だって間違いはあるし、さっきのは勢いでつい、っていうのも分かるから、出てきてくれないかなあ、ヴェル
ヴェル	だって、だってぇ……ごめんなさぁい、私のせいでぇ……
姫	悪気はなかったって分かってるから、大丈夫だって、ヴェル
紅	そうだぞ。ここはむしろ前向きに、噂を黙らせる方法を考えよう
ヴェル	でもでも、一度広まっちゃったし、みんなに知られちゃったし、ノートの評価、私のせいで……ごめんなさいぃ……
主人公	なんていうか、こういうヴェルも珍しい。まあそれだけ、自分のやったことの重大さを分かってるってことなんだけど。
主人公	本当にまあ、学園長も最悪なタイミングで最悪なことを……。
バリアリーフ	全員静かになさい。帰りのホームルームを始めますよ
主人公	結局、教室へと入ってきた先生によって今日の騒ぎは終了した。いや、一時的に流れた。
主人公	当然ながら明日も明後日も、当分の間これは続くだろう。
主人公	……受け入れるって決めたんだ。ノートの支えになってあげないとな。
主人公	さすがに、あの状態の学園に長い間いたいとは思わない。そもそも、話題の中心である俺は、あまり人前に出ない方がいいだろう。
主人公	俺はヴェルと紅と一緒に、早々に寮へと戻った。
ヴェル	はあ……ルアンさんにあったら、なんて言って謝ろう……
紅	まあ、素直に謝るしかないだろ。悪気があったわけじゃないし、そもそもあれは、学園長の誘導尋問みたいなものだ
主人公	深い溜息をつきながら、ガックリと項垂れているヴェル。気持ちは痛いほどに分かる。
主人公	あれだけの騒ぎだ、ルアンさんの耳に入ってないわけがない。娘を、それも第一王女を傷つけられたわけだし、なんて説明するべきか。
ルアン	ひ～めくん♪
姫	って、いきなり！？
主人公	玄関を潜った瞬間、そこに待ち受けていたルアンさんに、俺は思わず一歩飛び退いてしまう。
ルアン	お帰りなさい、待ってたわ
主人公	ニッコリ笑顔で言うルアンさん。そこに怒りは微塵も感じられなかったけれど、だからこそ怖いものがある。
姫	は、はい……
ルアン	ちょっとお話、いいかしら
主人公	蛇に睨まれたカエル、っていうのはこういうことを言うのかもしれない。当然ながら、俺に拒否することはできなかった。
ルアン	それじゃあ、ちょっとお部屋までお願いね
姫	悪い、紅。カバン頼む
紅	あ、ああ……
主人公	管理人室へと歩き出すルアンさんの後を、俺は慌てて追っていく。
ヴェル	あ、あの、ルアンさん……？
ルアン	あ、ヴェルちゃんは大丈夫。トリアちゃんから話聞いてるから、気にしないでいいわ
ルアン	ほんと、トリアちゃんの悪いくせよね。娘が可愛いからって、ついいじりすぎちゃうのよ
ルアン	それじゃあね
主人公	あまりにあっさりと無罪放免を言い渡され、逆に唖然とするヴェルと、あまりに早い展開に何も言えない紅。二人に見送られながら、俺は管理人室へと入っていった。
